"Export of 100 tweets for claritin since:2018-03-17 until:2018-03-24 over a period of 1 day"
" "
"-- OVERVIEW DATA --"
"Total tweets",Timeframe,Reach,Impressions,"Total retweets","Total favourites","Total replies"
100,"1 day","2,264,139","4,853,968",13,148,22
" "
"-- SUMMARY DATA --"
"Tweet type",frequency,,Sentiment,frequency,,Language,frequency,,"Top contributors",frequency,,"Top influencers",frequency,,"Top words",frequency,,"Top hashtags",frequency,,"Top mentions",frequency,,"Top domains",frequency,,"Top urls",frequency,,"Top sources",frequency,,"Top profile countries",frequency,,"Top profile locations",frequency,,"Top geo countries",frequency,,"Top geo locations",frequency
"Plain tweets",75,,Great,14,,English,68,,innovuspharma,6,,socialstartnow,1021310,,claritin,51,,#ラクチンボイス,30,,@goppollanalyst,2,,goo.gl,34,,bit.ly/2FUPl6Z,9,,iPhone,43,,,,,"San Diego, CA",8,,"United States",4,,"Phoenix, AZ",1
Retweets,3,,Good,9,,日本語,31,,esunohito,3,,socialstocksnow,982042,,クラリチン♪,29,,#claritin,14,,@chxngona,1,,bit.ly,9,,goo.gl/AsJ6vc,2,,Android,19,,,,,USA,3,,,,,"Mississippi, USA",1
Replies,22,,Neutral,59,,"español, castellano",1,,socialstocksnow,2,,innovuspharma,116891,,fluticare,12,,#flonase,13,,@ihatemorgz,1,,twitter.com,3,,goo.gl/MQVYSA,1,,Web/Desktop,18,,,,,ウコンの羽織になりたい。,3,,,,,"Georgia, USA",1
Mentions,28,,Bad,12,,,,,maminoru18,2,,RandallGoulding,51477,,allergies,11,,#sneezing,12,,@thepussyologist,1,,tmog.uspto.gov,1,,goo.gl/o9PCq3,1,,"Sprout Social",12,,,,,"Los Angeles",2,,,,,"Eugene, OR",1
Pictures,15,,Terrible,6,,,,,MartinRedmonddd,2,,ihateMORGZ,30850,,$innv,11,,#allergyrelief,12,,@lexforchange,1,,,,,goo.gl/hhpvpJ,1,,TweetDeck,2,,,,,"I LOVE広島県!!",2,,,,,,
Videos,4,,,,,,,,socialstartnow,2,,FlutiCareOTC,10688,,take,7,,#respiratory,12,,@zaythesensei,1,,,,,twitter.com/desmulan/statu…,1,,iPad,2,,,,,"Playing in (the Information Highway's Virtual) Traffic",2,,,,,,
Links,47,,,,,,,,__AliyahB,2,,LaetansX,6915,,like,6,,#nose,12,,@xbad2_thebonezx,1,,,,,goo.gl/3SxEgj,1,,Tweetlogix,1,,,,,Brian@socialstartnow.com,2,,,,,,
Verified,1,,,,,,,,loveclaudiab,1,,RitaWirtz,6773,,try,6,,#allegra,12,,@sheriwr33361424,1,,,,,goo.gl/Wf6Bux,1,,"ツイタマ for Android",1,,,,,"sage &amp; wezi",1,,,,,,
Geolocated,0,,,,,,,,SFOGuard,1,,MissAmaLea,3966,,need,6,,#nasal,12,,@ghostie_dragons,1,,,,,goo.gl/hZKRGX,1,,Facebook,1,,,,,NY,1,,,,,,
,,,,,,,,,Iookjb,1,,jasonpwoodbury,3078,,get,6,,#symptoms,12,,@baileyjarrett5,1,,,,,goo.gl/RhRH4i,1,,"please retweet my tweets",1,,,,,諏訪部さんとのシンクロ率高過ぎで驚き,1,,,,,,
,,,,,,,,,tsutu2,1,,TimberlakeLaw,2783,,took,5,,#relief,12,,@tigershah26,1,,,,,goo.gl/2BoNN1,1,,,,,,,,"Houston, TX",1,,,,,,
,,,,,,,,,R214xoxoMellow2,1,,nikkisworldxxx,1893,,buy,5,,#zyrtec,11,,@vimtobaba,1,,,,,goo.gl/anRPqc,1,,,,,,,,まんなかあたり,1,,,,,,
,,,,,,,,,bad_garrett,1,,fantasy_camp,1773,,flonase,4,,#fluticare,11,,@xain_hs,1,,,,,twitter.com/steadycraig/st…,1,,,,,,,,"St. Louis, Mo",1,,,,,,
,,,,,,,,,mican_moon,1,,_JBadge_,1703,,few,4,,#thankmelater,1,,@kevinlferguson,1,,,,,goo.gl/ihrXm1,1,,,,,,,,"chasing destini™",1,,,,,,
,,,,,,,,,nikkisworldxxx,1,,turnotori,1699,,give,4,,#pollen,1,,@vivaladivatracy,1,,,,,goo.gl/rW9mek,1,,,,,,,,"Phoenix, AZ",1,,,,,,
,,,,,,,,,heybaldie,1,,isikdg,1556,,allergy,4,,#fml,1,,@bfolsom18,1,,,,,goo.gl/hLk6ZH,1,,,,,,,,下総の国,1,,,,,,
,,,,,,,,,yukiusapon,1,,sanjuniperos,1545,,save,4,,#whyyyyyme,1,,@lovemeloyalty19,1,,,,,goo.gl/ooG1qV,1,,,,,,,,フォローの前にツイフィール↓ご覧下さい,1,,,,,,
,,,,,,,,,jenjames923,1,,Iookjb,1204,,work,4,,#officiallymyhero,1,,@bennythejet55,1,,,,,goo.gl/a7EbCA,1,,,,,,,,wherethegrassingreener.,1,,,,,,
,,,,,,,,,desmulan,1,,Ishfromda5th,1201,,spring,4,,#goawaypollen,1,,@spidergweb,1,,,,,goo.gl/yaL1gS,1,,,,,,,,"Groznyj Grad",1,,,,,,
,,,,,,,,,baklavamammi,1,,__AliyahB,1011,,morning,3,,#leakyeyes,1,,@derrickjosi,1,,,,,goo.gl/TsvU7b,1,,,,,,,,"Miami, Florida, United States",1,,,,,,
,,,,,,,,,StephenDelear,1,,geekly_sneaks,987,,pill,3,,#stuffednose,1,,@jecashsymbol2x,1,,,,,goo.gl/Bz464m,1,,,,,,,,"PHX, the Grand Canyon State",1,,,,,,
,,,,,,,,,MissAmaLea,1,,_peaceoff30,935,,air,3,,#distinctiveness,1,,@blithevelour,1,,,,,goo.gl/brkGjV,1,,,,,,,,"Las Vegas, NV",1,,,,,,
,,,,,,,,,rei_kamihate,1,,itumogdgd,923,,dying,3,,#trademarks,1,,@simpsonsbracket,1,,,,,goo.gl/TnX1Q1,1,,,,,,,,"tkaronto, turtle island",1,,,,,,
,,,,,,,,,raaelexi,1,,R214xoxoMellow2,798,,taking,3,,#allergies,1,,@steviejukejoint,1,,,,,goo.gl/7P3H46,1,,,,,,,,"a happy house xotwod",1,,,,,,
,,,,,,,,,miiihs_ara113,1,,landraaaa,781,,i’m,3,,,,,@claritin,1,,,,,goo.gl/oYtPMv,1,,,,,,,,"Savage, MN",1,,,,,,
,,,,,,,,,BlkOnBothSides,1,,maminoru18,770,,already,3,,,,,@morningexp,1,,,,,twitter.com/cjacks98/statu…,1,,,,,,,,"North Chicago, IL/ Washington",1,,,,,,
,,,,,,,,,LauraLeaWatson1,1,,7717love,764,,it’s,3,,,,,@bobvandillen,1,,,,,goo.gl/M9zbR6,1,,,,,,,,愛知県,1,,,,,,
,,,,,,,,,GingeraleDragon,1,,esunohito,626,,more,3,,,,,,,,,,,goo.gl/dWKUuK,1,,,,,,,,"Where would u like me to be?",1,,,,,,
,,,,,,,,,realelijahrose,1,,crives1,599,,even,3,,,,,,,,,,,goo.gl/3GS2sG,1,,,,,,,,"Los Angeles, CA",1,,,,,,
,,,,,,,,,jasonpwoodbury,1,,jackoraptor,433,,though,3,,,,,,,,,,,goo.gl/N7Lijz,1,,,,,,,,918,1,,,,,,
,,,,,,,,,_peaceoff30,1,,tsutu2,386,,works,3,,,,,,,,,,,goo.gl/PExYkt,1,,,,,,,,"Indianapolis, IN",1,,,,,,
,,,,,,,,,tigerbano,1,,sakuragishun,381,,after,3,,,,,,,,,,,goo.gl/9sneNp,1,,,,,,,,あんすた沼,1,,,,,,
,,,,,,,,,BellysConsuela,1,,takutakubeee103,355,,any,3,,,,,,,,,,,goo.gl/P6QpGJ,1,,,,,,,,STL,1,,,,,,
,,,,,,,,,lostinjennifer,1,,renta55,341,,sprays,3,,,,,,,,,,,goo.gl/drWhHU,1,,,,,,,,"Univ of Mississippi",1,,,,,,
,,,,,,,,,RandallGoulding,1,,corndoglover100,337,,well,3,,,,,,,,,,,goo.gl/t79jsZ,1,,,,,,,,"running or watching baseball",1,,,,,,
,,,,,,,,,youM68,1,,daicolog,321,,come,3,,,,,,,,,,,goo.gl/8hLYjL,1,,,,,,,,"GODAWGS ❤️",1,,,,,,
,,,,,,,,,CWFrancis72,1,,Mi2c00000,271,,really,3,,,,,,,,,,,tmog.uspto.gov/#issueDate=201…,1,,,,,,,,"Montgomery, AL",1,,,,,,
,,,,,,,,,jackoraptor,1,,miiihs_ara113,271,,want,3,,,,,,,,,,,goo.gl/WjvYkL,1,,,,,,,,マジLOVEキングダム,1,,,,,,
,,,,,,,,,redbarron77,1,,diabolik0128,251,,season,3,,,,,,,,,,,,,,,,,,,,"Wilkes-Barre, PA",1,,,,,,
,,,,,,,,,athenahollow,1,,katybazarsky,230,,seasonal,3,,,,,,,,,,,,,,,,,,,,"Michigan, USA",1,,,,,,
" "
"-- TWEET DATA --"
"Created At","Screen Name",Handle,Tweet,Links,"Tweet Type",Language,Sentiment,Retweets,Favourites,Followers,Friends,Reach,"Retweet Rate (Tweets Per Minute)",Engagements,"Engagement Rate (% of Followers)",Source,Domain,URL,"Tweet Link","Pic Link","Retweeting User","Retweeting Handle","Profile Location","Country (Profile)","Location (Geo)","Country (Geo)","Tweet ID"
"Fri Mar 23 14:29:02 +0000 2018","Innovus Pharma ",innovuspharma,"$INNV Using Flonase or Nasacort? FlutiCare is the cheaper alternative with the same #1 Dr. recommended ingredient. bit.ly/2FUPl6Z#fluticare #flonase #zyrtec #AllergyRelief #Respiratory #claritin #allegra #nasal #symptoms #relief #sneezing #nose pic.twitter.com/vnjqVsTzu2","http://bit.ly/2FUPl6Z Twitter analytics for #fluticare Twitter analytics for #flonase Twitter analytics for #zyrtec Twitter analytics for #AllergyRelief Twitter analytics for #Respiratory Twitter analytics for #claritin Twitter analytics for #allegra Twitter analytics for #nasal Twitter analytics for #sneezing Twitter analytics for #nose https://twitter.com/innovuspharma/status/977190490650095616/photo/1","Regular Tweet",en,2,0,0,116891,30412,116891,0,0,0,"Sprout Social","bit.ly ","bit.ly/2FUPl6Z ","https://twitter.com/Innovus Pharma /status/977190490650095616",https://pbs.twimg.com/profile_images/968497000764395520/jrxreOdM_normal.jpg,,,,"San Diego, CA",,,977190490650095616
"Fri Mar 23 14:25:02 +0000 2018","Social Start Now ",socialstartnow,"$INNV save money on your next Flonase purchase? Check out how FlutiCare compares! goo.gl/drWhHU #fluticare #flonase #zyrtec #AllergyRelief #Respiratory #claritin #allegra #nasal #symptoms #relief #sneezing #nose pic.twitter.com/3AOeTPzcua","https://goo.gl/drWhHU Twitter analytics for #fluticare Twitter analytics for #flonase Twitter analytics for #zyrtec Twitter analytics for #AllergyRelief Twitter analytics for #Respiratory Twitter analytics for #claritin Twitter analytics for #allegra Twitter analytics for #nasal Twitter analytics for #sneezing Twitter analytics for #nose https://twitter.com/socialstartnow/status/977189481278267393/photo/1","Regular Tweet",en,0,0,0,1021310,244174,1021310,0,0,0,"Sprout Social","goo.gl ","goo.gl/drWhHU ","https://twitter.com/Social Start Now /status/977189481278267393",https://pbs.twimg.com/profile_images/852839090173001728/A8Ym33cs_normal.jpg,,,,Brian@socialstartnow.com,,,977189481278267393
"Fri Mar 23 14:23:56 +0000 2018","Katy Alexandra ",katybazarsky,"I know it’s spring because I forgo  to take Claritin and I’m dying",,"Regular Tweet",en,-1,0,1,230,93,230,0,1,0.43,iPhone,,,"https://twitter.com/Katy Alexandra /status/977189207100874752",https://pbs.twimg.com/profile_images/949072700730822662/GB9xSXb3_normal.jpg,,,,,,,977189207100874752
"Fri Mar 23 14:20:25 +0000 2018","ド大根 ",daicolog,"おや、居眠りですか？クラリチンは１日１回１錠でずっと効くのに眠くなりにくいんです。これでもう居眠りしませんよね？花粉ラクチン クラリチン♪ goo.gl/t79jsZ #ラクチンボイス","https://goo.gl/t79jsZ Twitter analytics for #ラクチンボイス","Regular Tweet",ja,0,0,0,321,349,321,0,0,0,Web/Desktop,"goo.gl ","goo.gl/t79jsZ ","https://twitter.com/ド大根 /status/977188319967629313",https://pbs.twimg.com/profile_images/852848899710517248/D-ecPKCm_normal.jpg,,,,,,,977188319967629313
"Fri Mar 23 14:16:13 +0000 2018","J ",deathValleyHikr,"@BlitheVelour yep. real sudafed ... the kind you have to get ID'd for at the pharmacy.  i like the generic 12 hour formula.. plus it's a little bit of an ""upper"".  start taking one of the daily allergy medications, claritin works for me.",,Reply,en,0,0,1,14,62,1,0,1,7.14,Web/Desktop,,,"https://twitter.com/J /status/977187264781369346",https://pbs.twimg.com/profile_images/954053418049454082/hHqc6a4Q_normal.jpg,,,,"the desert, the mountains...",,,977187264781369346
"Fri Mar 23 14:15:25 +0000 2018","Aliyah 🇳🇬 ",__AliyahB,"I NEED CLARITIN",,"Regular Tweet",en,0,1,0,1011,636,1011,0,1,0.1,iPhone,,,"https://twitter.com/Aliyah 🇳🇬 /status/977187062771339264",https://pbs.twimg.com/profile_images/947307884441980928/kGtQQCmu_normal.jpg,,,,"Atlanta ",,,977187062771339264
"Fri Mar 23 14:14:34 +0000 2018","Truth ",TruthBomb1965,"“I’d like to buy a gun.”“Here you go!”“I’d like to buy a Claritin.”“Ok, I need your name, photo ID, signature, fingerprint and a lock of hair...”",,"Regular Tweet",en,4,0,0,80,99,80,0,0,0,iPhone,,,"https://twitter.com/Truth /status/977186846944956416",https://pbs.twimg.com/profile_images/953319475436314624/hoLAe6r0_normal.jpg,,,,USA,,,977186846944956416
"Fri Mar 23 14:14:00 +0000 2018","Cynthia R. ",LoveRamirezFam,"Did not grow up with seasonal #allergies but I am paying my dues now! #goawaypollen #leakyeyes #stuffednoseMy new friends are #claritin and #flonase","Twitter analytics for #goawaypollen Twitter analytics for #leakyeyes Twitter analytics for #stuffednose Twitter analytics for #claritin Twitter analytics for #flonase","Regular Tweet",en,1,0,0,56,213,56,0,0,0,Android,,,"https://twitter.com/Cynthia R. /status/977186705563443205",https://pbs.twimg.com/profile_images/929373182791946240/r4nBOUak_normal.jpg,,,,"Sugar Land, TX",,,977186705563443205
"Fri Mar 23 13:48:58 +0000 2018","a_hamm ",ash_hamm,"PSA: Spring allergy season is starting. If you wake up with a sore throat, you likely do NOT have strep. You have sinus drainage. Try Claritin or ZyrtecD for a couple days before you run to urgent care 👌",,"Regular Tweet",en,-2,0,0,223,639,223,0,0,0,iPhone,,,"https://twitter.com/a_hamm /status/977180405311864832",https://pbs.twimg.com/profile_images/917802544566620161/BMCc2_6T_normal.jpg,,,,"Your Mom ",,,977180405311864832
"Fri Mar 23 13:41:36 +0000 2018","Royal Tee Gear ",RoyalTeeGear,"Hay gente buena, gente mala A tos los mido con la misma varaOye tu sigues tu swing Yo estoy claritín El underdog como quiera es el king",,"Regular Tweet",es,-2,0,0,100,219,100,0,0,0,Facebook,,,"https://twitter.com/Royal Tee Gear /status/977178553103077376",https://pbs.twimg.com/profile_images/621478065319841792/hYaaixcU_normal.jpg,,,,,,,977178553103077376
"Fri Mar 23 13:15:22 +0000 2018","なのん⛸🐷💍🐰❄ ",NAN0N,"花粉で授業に集中できない？悪い子ですね。それでは、先生がクラリチンを飲ませてあげましょう。さぁ、口を開けて。とってもかわいいですね。花粉ラクチン クラリチン♪ goo.gl/8hLYjL #ラクチンボイス","https://goo.gl/8hLYjL Twitter analytics for #ラクチンボイス","Regular Tweet",ja,0,0,0,28,105,28,0,0,0,Web/Desktop,"goo.gl ","goo.gl/8hLYjL ","https://twitter.com/なのん⛸🐷💍🐰❄ /status/977171948730859521",https://pbs.twimg.com/profile_images/947351988051705856/eBf3krSs_normal.jpg,,,,せなか,,,977171948730859521
"Fri Mar 23 13:12:47 +0000 2018","David Jeffries ",Stygian_dj,"@SimpsonsBracket Hank Scorpio, one of the best one off characters. But the veteran James Brooks has been on the show many times. One thing that bugged me as the family didn't give Cypres Creek a chance.  Marge coud have volunteered. Lisa Claritin, and Bart a tutor. Homer was very happy there.",,Reply,en,2,0,1,43,99,1,0,1,2.33,Android,,,"https://twitter.com/David Jeffries /status/977171298571997184",https://pbs.twimg.com/profile_images/976071895257960448/8T92ZO7P_normal.jpg,,,,"Perrysburg, Ohio",,,977171298571997184
"Fri Mar 23 13:04:49 +0000 2018","Rich ",RichSavarie,"@StevieJukeJoint Reactine doesn't work well for me. Not sure why. Claritin works wonders though; it's almost immediate that I can feel it taking effect.",,Reply,en,4,0,0,864,530,1,0,0,0,Android,,,"https://twitter.com/Rich /status/977169296219500544",https://pbs.twimg.com/profile_images/969740366499913729/IN4x0GjU_normal.jpg,,,,"Ottawa, Ontario",,,977169296219500544
"Fri Mar 23 13:02:00 +0000 2018","🍑みつこ🍑 ",Mi2c00000,"そんな顔してどうしたんですか？花粉で外に出るのが不安なんですか？貴女には、もう、私がいるのをお忘れなく。花粉ラクチン クラリチン♪ goo.gl/AsJ6vc #ラクチンボイス","https://goo.gl/AsJ6vc Twitter analytics for #ラクチンボイス","Regular Tweet",ja,0,0,0,271,331,271,0,0,0,Web/Desktop,"goo.gl ","goo.gl/AsJ6vc ","https://twitter.com/🍑みつこ🍑 /status/977168585238896642",https://pbs.twimg.com/profile_images/975761795234189313/0B70fEhC_normal.jpg,,,,ウルクとコノート,,,977168585238896642
"Fri Mar 23 12:43:10 +0000 2018","Trademarks Are Magic ",TimberlakeLaw,"Daily #Distinctiveness:Pastoral scene(with flying blue capsule)published for opposition this weekas a trademark for antihistaminestmog.uspto.gov/#issueDate=201…#trademarks @Claritin pic.twitter.com/2s2jhy5k7s","Twitter analytics for #Distinctiveness https://tmog.uspto.gov/#issueDate=2018-03-20&serialNumber=87648053 Twitter analytics for #trademarks https://twitter.com/TimberlakeLaw/status/977163846677946368/photo/1","Regular Tweet",en,-1,0,0,2783,1284,2783,0,0,0,TweetDeck,"tmog.uspto.gov ","tmog.uspto.gov/#issueDate=201… ","https://twitter.com/Trademarks Are Magic /status/977163846677946368",https://pbs.twimg.com/profile_images/829750170480959490/qkDvbbPQ_normal.jpg,,,,ed@timberlakelaw.com,,,977163846677946368
"Fri Mar 23 12:29:13 +0000 2018","internet sensation ",corndoglover100,"gonna pop 2 claritin d's and go to school high",,"Regular Tweet",en,2,0,2,337,2,337,0,2,0.59,"please retweet my tweets",,,"https://twitter.com/internet sensation /status/977160337085657088",https://pbs.twimg.com/profile_images/937006427247222785/vEcjM85O_normal.jpg,,,,,,,977160337085657088
"Fri Mar 23 11:53:17 +0000 2018","Radical Technocrat ",con_nop,"Just re-upped on mucinex and off-brand Claritin 😤Bang my fukn line if ur tryna be allergy free 👍🏻💯📬💸",,Retweet,en,0,7,25,460,921,1556,0.0022,32,6.96,iPhone,,,"https://twitter.com/Radical Technocrat /status/977151292693991425",https://pbs.twimg.com/profile_images/977328586498572289/ylespJVo_normal.jpg,"Janett fan account",isikdg,,"HOUSTON FLEXAS ",,,977151292693991425
"Fri Mar 23 11:40:59 +0000 2018","さゆちぃ ",Reona_AK,"どうしたんですか？鼻の下から涙がこぼれてますよ？先生がその涙、止めてあげましょうか？クラリチンキッスで。花粉ラクチン クラリチン♪ goo.gl/WjvYkL #ラクチンボイス","https://goo.gl/WjvYkL Twitter analytics for #ラクチンボイス","Regular Tweet",ja,0,0,0,19,25,19,0,0,0,iPad,"goo.gl ","goo.gl/WjvYkL ","https://twitter.com/さゆちぃ /status/977148196022464512",https://pbs.twimg.com/profile_images/873819352939716608/sV3ua53c_normal.jpg,,,,,,,977148196022464512
"Fri Mar 23 11:25:31 +0000 2018","Eric ",kurly99,"Took a Claritin last night that basically acted like an allergy enhancer on toradol",,"Regular Tweet",en,-1,0,0,221,261,221,0,0,0,iPad,,,"https://twitter.com/Eric /status/977144304710930433",https://pbs.twimg.com/profile_images/923161174438547457/_s0Rd8o__normal.jpg,,,,"Sweet Home Milwaukee",,,977144304710930433
"Fri Mar 23 11:13:02 +0000 2018","kenny aka 'red' ",JacksonIsRED,"@MorningExp LMAO @BobVanDillen saying on air that he took Cialis accidentally instead of Claritin!! Getting me to laugh this hard at 7AM? 🤣😂🤣😂  #officiallymyhero","Twitter analytics for #officiallymyhero",Reply,en,0,0,1,115,176,1,0,1,0.87,Android,,,"https://twitter.com/kenny aka 'red' /status/977141163873447936",https://pbs.twimg.com/profile_images/893462756439011328/aP8KpdaM_normal.jpg,,,,"Louisville, KY",,,977141163873447936
"Fri Mar 23 09:46:02 +0000 2018","Innovus Pharma ",innovuspharma,"$INNV FlutiCare in the morning can give you a breath of fresh air! Shipped to your door.The affordable #Flonase alternative. bit.ly/2FUPl6Z #fluticare#zyrtec #AllergyRelief #Respiratory #claritin #allegra #nasal #symptoms #relief #sneezing #nose pic.twitter.com/IYE7DtAGfx","Twitter analytics for #Flonase http://bit.ly/2FUPl6Z Twitter analytics for #AllergyRelief Twitter analytics for #Respiratory Twitter analytics for #claritin Twitter analytics for #allegra Twitter analytics for #nasal Twitter analytics for #sneezing Twitter analytics for #nose https://twitter.com/innovuspharma/status/977119270009229312/photo/1","Regular Tweet",en,2,0,0,116891,30412,116891,0,0,0,"Sprout Social","bit.ly ","bit.ly/2FUPl6Z ","https://twitter.com/Innovus Pharma /status/977119270009229312",https://pbs.twimg.com/profile_images/968497000764395520/jrxreOdM_normal.jpg,,,,"San Diego, CA",,,977119270009229312
"Fri Mar 23 09:40:14 +0000 2018","TrNch Jackson ",_JBadge_,"Claritin season in full affect I see",,"Regular Tweet",en,0,0,3,1703,930,1703,0,3,0.18,Android,,,"https://twitter.com/TrNch Jackson /status/977117810747891712",https://pbs.twimg.com/profile_images/970216777572524032/QAVYOQm0_normal.jpg,,,,"da otha earth",,,977117810747891712
